DeployedFromStation_Name;Adresse;Latitude;Longitude
Park Royal;Waxlow Road, NW10 7NU;51.535822034321534; -0.2646035571200036
Peckham;78-80 Peckham Road, SE5 8PR;51.47414151306947; -0.07769102458445087
Plaistow;145 Prince Regent Lane, E13 8SG;51.52123201116007; 0.032976217216270524
Plumstead;1 Lakedale Road Plumstead, SE12 8ES;51.48757128558001; 0.09192835398717412
Poplar;168 East India Dock Road, E14 0BP;51.512464644295804; -0.0030136900131543906
Purley;128 Brighton Road, CR8 4DB;51.33183452397634; -0.12482342644497882
Richmond;323 Lower Richmond Road, Richmond, Surrey, TW9 4PN;51.606358950630536; 0.33999150562330344
Romford;198 Pettits Boulevard , RM1 4PL;51.5938867808234; 0.18146620425889837
Ruislip;Bury Street, HA4 7TW;51.58855942356777; -0.436454885952683
Shadwell;290 Cable Street, E1 0BX;51.5109468855653; -0.05546003437094071
Shoreditch;235 Old Street, EC1V 9EY;51.526476146717165; -0.08517696505761593
Sidcup;156 - 158 Main Road, DA14 6NZ;51.427219541424684; 0.09467205636539655
Soho;126 Shaftesbury Ave, London, W1D 5ET;51.51275224281041; -0.12946701717532763
Southall;17 - 19 High Street, UB1 3HA;51.51146787874169; -0.37382063066751253
Southgate;96 High Street, N14 6BN;51.63061468407327; -0.12708747060624165
Stanmore;650 Honeypot Lane, HA7 1JS;51.60366960842881; -0.29666708092694755
Stoke Newington;64 Stoke Newington Church Street, N16 0AR;51.56245154485944; -0.07668767618719839
Stratford;117 Romford Road, E15 4EH;51.54358299210886; 0.0113294870602868
Surbiton;31/33 Ewell Road Surbiton, Oakhill KT6 6AF;51.43289051123016; -0.2972155191404572
Surrey;70 Wray Park Rd, Croydon Rd, Reigate RH2 0EJ, Royaume-Uni;51.24611542263748; -0.18668915472033934
Sutton;43 St Dunstans Hill, SM1 2JX;51.44888438094004; -0.19013523146011257
Tooting;91 Trinity Road, SW17 7SQ;51.43941668540334; -0.1629293455568022
Tottenham;49 St Loys Road, N17 6UE;51.592703177298894; -0.0717388933592093
Twickenham;30 South Road, TW2 5NT;51.47567805709148; -0.3603869052502949
Wallington;19 Belmont Road, SM6 8TE;51.43236365419018; -0.15758408102373866
Walthamstow;343 Forest Road, E17 5JR;51.58978526600257; -0.028697085952587808
Wandsworth;45 West Hill Wandsworth, SW18 1RL;51.45673336903589; -0.20100083437431124
Wembley;591A Harrow Road, HA0 2EG;51.56408747984094; -0.30455210783121867
Wennington;Wennington Road RM13 9EE;51.50650195352595; 0.22051445637030664
West Hampstead;327B West End Lane, NW6 1RS;51.55180339832957; -0.19230350553243775
West Norwood;210 Knight's Hill, SE27 0QA;51.4259033103308; -0.10495174363461554
Whitechapel;27 Commercial Road E1 1LD;51.51526559786434; -0.06912041849654615
Willesden;59a Pound Lane, NW10 2HH;51.544536307996516; -0.23634005341606953
Wimbledon;87 Kingston Road, SW19 1JN;51.41816568572027; -0.19804668486056137
Woodford;2 Snakes Lane, IG8 0BS;51.60957156498656; 0.024350773572224073
Woodside;2 Long Lane Addiscombe Road Croydon, CR0 7AL;51.38703051109391; -0.06318478557537907
